name,wikipedia_url
مجید آهی,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%DB%8C%D8%AF_%D8%A2%D9%87%DB%8C
ابوالفضل میرشمس شهشهانی,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%81%D8%B6%D9%84_%D9%85%DB%8C%D8%B1%D8%B4%D9%85%D8%B3_%D8%B4%D9%87%D8%B4%D9%87%D8%A7%D9%86%DB%8C
مالک اژدر شریفی,https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D9%84%DA%A9_%D8%A7%DA%98%D8%AF%D8%B1_%D8%B4%D8%B1%DB%8C%D9%81%DB%8C
میرزا حسین اصفهانی,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%AD%D8%B3%DB%8C%D9%86_%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C
امیر نجم رشتی,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1_%D9%86%D8%AC%D9%85_%D8%B1%D8%B4%D8%AA%DB%8C
امیرحسین جهانشاهی,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%D8%AD%D8%B3%DB%8C%D9%86_%D8%AC%D9%87%D8%A7%D9%86%D8%B4%D8%A7%D9%87%DB%8C
امیرقلی امینی,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%D9%82%D9%84%DB%8C_%D8%A7%D9%85%DB%8C%D9%86%DB%8C
حسین اهری,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D8%A7%D9%87%D8%B1%DB%8C
بهاءالدین محمد جوینی,https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%A7%D8%A1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D9%88%DB%8C%D9%86%DB%8C
حسن بن سهل سرخسی,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%A8%D9%86_%D8%B3%D9%87%D9%84_%D8%B3%D8%B1%D8%AE%D8%B3%DB%8C
حسین‌بیگ یوزباشی,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86%E2%80%8C%D8%A8%DB%8C%DA%AF_%DB%8C%D9%88%D8%B2%D8%A8%D8%A7%D8%B4%DB%8C
