name,wikipedia_url
کامبیز آتابای,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D9%85%D8%A8%DB%8C%D8%B2_%D8%A2%D8%AA%D8%A7%D8%A8%D8%A7%DB%8C
عبدالقدیر آزاد,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%82%D8%AF%DB%8C%D8%B1_%D8%A2%D8%B2%D8%A7%D8%AF
حسام‌الدین آشنا,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D8%A7%D9%85%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A2%D8%B4%D9%86%D8%A7
فرج‌الله آصف,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%AC%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%A2%D8%B5%D9%81
مهرآفاق آصف‌زاده,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D8%A2%D9%81%D8%A7%D9%82_%D8%A2%D8%B5%D9%81%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87
کریم آصف,https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%DB%8C%D9%85_%D8%A2%D8%B5%D9%81
علی آقامحمدی,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A2%D9%82%D8%A7%D9%85%D8%AD%D9%85%D8%AF%DB%8C
یحیی آل اسحاق,https://fa.wikipedia.org/wiki/%DB%8C%D8%AD%DB%8C%DB%8C_%D8%A2%D9%84_%D8%A7%D8%B3%D8%AD%D8%A7%D9%82
اسدالله آل بویه,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A2%D9%84_%D8%A8%D9%88%DB%8C%D9%87
داوود آلیانس، بارون آلیانس,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%88%D9%88%D8%AF_%D8%A2%D9%84%DB%8C%D8%A7%D9%86%D8%B3%D8%8C_%D8%A8%D8%A7%D8%B1%D9%88%D9%86_%D8%A2%D9%84%DB%8C%D8%A7%D9%86%D8%B3
تقی ابتکار,https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D8%A7%D8%A8%D8%AA%DA%A9%D8%A7%D8%B1
عزت‌الله ابراهیم‌نژاد,https://fa.wikipedia.org/wiki/%D8%B9%D8%B2%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF
ابوذر ابراهیمی ترکمان,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%B0%D8%B1_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85%DB%8C_%D8%AA%D8%B1%DA%A9%D9%85%D8%A7%D9%86
محمد ابریشم‌کار,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D8%B1%DB%8C%D8%B4%D9%85%E2%80%8C%DA%A9%D8%A7%D8%B1
ابوالحسن خان مشیرالملک,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D8%A7%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9
ابوالفضل ابوترابی,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%81%D8%B6%D9%84_%D8%A7%D8%A8%D9%88%D8%AA%D8%B1%D8%A7%D8%A8%DB%8C
احمد اصغری مهرآبادی,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%A7%D8%B5%D8%BA%D8%B1%DB%8C_%D9%85%D9%87%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C
احمد توفیق,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%AA%D9%88%D9%81%DB%8C%D9%82
عیسی‌قلی احمدی‌نیا,https://fa.wikipedia.org/wiki/%D8%B9%DB%8C%D8%B3%DB%8C%E2%80%8C%D9%82%D9%84%DB%8C_%D8%A7%D8%AD%D9%85%D8%AF%DB%8C%E2%80%8C%D9%86%DB%8C%D8%A7
سید محمد احمدی,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%AD%D9%85%D8%AF%DB%8C
علی‌اصغر احمدی,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%D8%B5%D8%BA%D8%B1_%D8%A7%D8%AD%D9%85%D8%AF%DB%8C
اسفندیار اختیاری,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%AF%DB%8C%D8%A7%D8%B1_%D8%A7%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C
غلامرضا اخلاق‌پور,https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%A7%D8%AE%D9%84%D8%A7%D9%82%E2%80%8C%D9%BE%D9%88%D8%B1
سید عطاءالله اخلاقی,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D8%B7%D8%A7%D8%A1%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D8%AE%D9%84%D8%A7%D9%82%DB%8C
محمدباقر ادیب,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A8%D8%A7%D9%82%D8%B1_%D8%A7%D8%AF%DB%8C%D8%A8
سید عبدالله ارجائی,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D8%B1%D8%AC%D8%A7%D8%A6%DB%8C
حاج باباخان اردبیلی,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC_%D8%A8%D8%A7%D8%A8%D8%A7%D8%AE%D8%A7%D9%86_%D8%A7%D8%B1%D8%AF%D8%A8%DB%8C%D9%84%DB%8C
سید جلیل اردبیلی,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%DB%8C%D9%84_%D8%A7%D8%B1%D8%AF%D8%A8%DB%8C%D9%84%DB%8C
سید حسین اردبیلی,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%DB%8C%D9%86_%D8%A7%D8%B1%D8%AF%D8%A8%DB%8C%D9%84%DB%8C
محمدرضا اردبیلی,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%D8%A7%D8%B1%D8%AF%D8%A8%DB%8C%D9%84%DB%8C
اسماعیل ارزانی بیرگانی,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%A7%D8%B1%D8%B2%D8%A7%D9%86%DB%8C_%D8%A8%DB%8C%D8%B1%DA%AF%D8%A7%D9%86%DB%8C
ارسلان صفایی‌پور زمانی,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%B3%D9%84%D8%A7%D9%86_%D8%B5%D9%81%D8%A7%DB%8C%DB%8C%E2%80%8C%D9%BE%D9%88%D8%B1_%D8%B2%D9%85%D8%A7%D9%86%DB%8C
جواد ارکانی,https://fa.wikipedia.org/wiki/%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D8%B1%DA%A9%D8%A7%D9%86%DB%8C
محمدعلی اسفنانی,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%A7%D8%B3%D9%81%D9%86%D8%A7%D9%86%DB%8C
محمد اسحاقی کاهکش,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%B3%D8%AD%D8%A7%D9%82%DB%8C_%DA%A9%D8%A7%D9%87%DA%A9%D8%B4
اسدالله قره‌خانی الوستانی,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D9%82%D8%B1%D9%87%E2%80%8C%D8%AE%D8%A7%D9%86%DB%8C_%D8%A7%D9%84%D9%88%D8%B3%D8%AA%D8%A7%D9%86%DB%8C
عبدالرضا اسدی‌نیا,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%B6%D8%A7_%D8%A7%D8%B3%D8%AF%DB%8C%E2%80%8C%D9%86%DB%8C%D8%A7
فرامرز اسدی,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%85%D8%B1%D8%B2_%D8%A7%D8%B3%D8%AF%DB%8C
محمدتقی اسعد بختیاری,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%A7%D8%B3%D8%B9%D8%AF_%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C
کمال اسفرم,https://fa.wikipedia.org/wiki/%DA%A9%D9%85%D8%A7%D9%84_%D8%A7%D8%B3%D9%81%D8%B1%D9%85
اسفندیارخان,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%AF%DB%8C%D8%A7%D8%B1%D8%AE%D8%A7%D9%86
مهدی اسلام‌پناه,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%E2%80%8C%D9%BE%D9%86%D8%A7%D9%87
اسماعیل یکانی,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%DB%8C%DA%A9%D8%A7%D9%86%DB%8C
محمد اسماعیلی (سیاستمدار),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84%DB%8C_%28%D8%B3%DB%8C%D8%A7%D8%B3%D8%AA%D9%85%D8%AF%D8%A7%D8%B1%29
نعیمه اشراقی,https://fa.wikipedia.org/wiki/%D9%86%D8%B9%DB%8C%D9%85%D9%87_%D8%A7%D8%B4%D8%B1%D8%A7%D9%82%DB%8C
علی اعطا,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A7%D8%B9%D8%B7%D8%A7
علی اعظم زنگنه,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%A7%D8%B9%D8%B8%D9%85_%D8%B2%D9%86%DA%AF%D9%86%D9%87
عزیز اعظم زنگنه,https://fa.wikipedia.org/wiki/%D8%B9%D8%B2%DB%8C%D8%B2_%D8%A7%D8%B9%D8%B8%D9%85_%D8%B2%D9%86%DA%AF%D9%86%D9%87
مظفر اعلم,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1_%D8%A7%D8%B9%D9%84%D9%85
شهروز افخمی,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D9%88%D8%B2_%D8%A7%D9%81%D8%AE%D9%85%DB%8C
