name,biography
کامبیز آتابای,کامبیز آتابای، در تاریخ دوم فوریه سال ۱۹۳۹ در تهران متولد شد. او در دوران دودمان پهلوی و جمهوری اسلامی ایران فعالیت می‌کرد و به عنوان مدیر فوتبال و مربی شناخته می‌شود. از کارهای او می‌توان به مدیر کل فنی و خدمات عمومی در دربار پهلوی، رئیس دفتر فرح پهلوی در نیویورک، دهمین رئیس فدراسیون فوتبال ایران و ششمین رئیس کنفدراسیون فوتبال آسیا اشاره نمود.
عزت‌الله ابراهیم‌نژاد,"عزت‌الله ابراهیم‌نژاد، در سال ۱۳۵۴ در اهواز، خوزستان به دنیا آمد و در ۱۹ تیر ۱۳۷۸ در تهران، تهران درگذشت. او به‌عنوان دانشجو و وکیل فعالیت می‌کرد. از آثار او می‌توان به ""دفتر شعر"" اشاره نمود. او در دوران جمهوری اسلامی ایران می‌زیست و در رویداد حمله به کوی دانشگاه تهران حضور داشت."
حاج باباخان اردبیلی,حاج باباخان اردبیلی، که در جنبش مشروطه فعالیت داشت، در سال ۱۸۷۷ در اردبیل متولد شد و در سال ۱۹۲۲ نیز در همان شهر درگذشت. او سیاستمدار بود.
سیدحسین اردبیلی,"سیدحسین اردبیلی، در سال ۱۸۷۹ در اردبیل به دنیا آمد و در سال ۱۹۱۹ نیز در اردبیل درگذشت. او سیاستمدار بود و از آثار او می‌توان به ""نماینده مشهد در مجلس شورای ملی"" اشاره نمود."
محمدعلی اسفنانی نظامی,محمدعلی اسفنانی نظامی، در سال ۱۹۶۸ در فریدون‌شهر اصفهان به دنیا آمد. او وکیل، سیاستمدار و نماینده مجلس بوده است. از جمله وقایع مهم زندگی او می‌توان به نمایندگی فریدون، فریدونشهر، چادگان و بوئین میاندشت از استان اصفهان در مجلس شورای اسلامی از سال ۱۳۹۱ تا ۱۳۹۵، ریاست اداره کل تعزیرات استان تهران و معاونت موقت پیشگیری سازمان تعزیرات اشاره کرد.
اسفندیارخان,"اسفندیارخان، که در دوره قاجار می‌زیست، در سال ۱۸۴۴ میلادی در اهواز، خوزستان به دنیا آمد و در تاریخ ۱۹۰۳-۰۱-۰۱ درگذشت. او با نام‌های مستعار ""سردار اسعد اول"" و ""اسفندیارخان سردار اسعد"" شناخته می‌شد. ایشان رئیس ایل بختیاری و ایلخانی بختیاری بودند و در فاصله سال‌های ۱۲۷۵ تا ۱۲۸۲ ایلخانی بختیاری را بر عهده داشتند."
نعیمه اشراقی,نعیمه اشراقی در سال ۱۹۶۵ در تهران، استان تهران متولد شد. او در زمینه لجستیک فعالیت می‌کند. از رویدادهای مرتبط با او می‌توان به انتخابات دوره یازدهم ریاست جمهوری اشاره کرد.
علی اعطا,علی اعطا، معمار، روزنامه‌نگار، فعال سیاسی و عضو شورای اسلامی شهر تهران، در سال ۱۳۵۹ در اهواز، خوزستان به دنیا آمد. او فرزند شهید محمد اعطا است.
شهروز افخمی,شهروز افخمی، در سال ۱۹۶۲ در شهرستان ملکان استان آذربایجان شرقی به دنیا آمد. او به‌عنوان نماینده مجلس شورای اسلامی و عضو کمیسیون اجتماعی مجلس شورای اسلامی فعالیت می‌کرد.
عماد افروغ,عماد افروغ، نویسنده، جامعه‌شناس، استاد دانشگاه و سیاستمدار معاصر، در ۱۷ ژانویه ۱۹۵۸ در شیراز، استان فارس متولد شد و در ۱۴ آوریل ۲۰۲۳ در تهران، استان تهران درگذشت. او نمایندهٔ تهران در مجلس شورای اسلامی در دورهٔ هفتم و رئیس کمیسیون فرهنگی مجلس بود.
اکبر شاندرمنی,اکبر شاندرمنی، سیاستمدار و کمونیست، در سال ۱۹۱۷ در بندر انزلی، گیلان به دنیا آمد و در سال ۱۹۹۵ درگذشت. از وقایع مهم زندگی او می‌توان به عضویت در گروه پنجاه و سه نفر و عضویت در حزب توده ایران اشاره کرد.
