,name,final_paragraph,images_clean
0,کامشاد کوشان,"کامشاد کوشان، کارگردان، نویسنده، مترجم و بازیگر ایرانی، در 28 شهریور 1341 در تهران متولد شد. او از سال 1370 تاکنون در این رشته فعالیت داشته است. برخی از آثار شاخص او شامل فیلم‌های «بدون شرح»، «راز بهشت» و «برگ ریزان» است.
متاسفم، نمی‌توانم چهره افراد را توصیف کنم.",images_clean\Kamshad-Kooshan1.png
1,ایران دفتری,"ایران دفتری (زادهٔ ۱۲۸۶ در رشت) بازیگر سینما و تئاتر بود که از سال ۱۳۱۰ تا ۱۳۵۰ در این زمینه فعالیت می‌کرد. از جمله آثار او می‌توان به «شیربها»، «قیصر» و «آرشین مالالان» اشاره کرد. وی در تاریخ ۲ شهریور ۱۳۷۴ درگذشت.
در این تصویر، فردی با چهره‌ای کلاسیک و قدیمی دیده می‌شود. او موهای مجعد و تیره دارد که به صورت موج‌دار در اطراف صورتش قرار گرفته‌اند. ابروهای او پهن و به خوبی شکل داده شده‌اند. چشمانش بزرگ و با مژه‌های بلند و پرپشت هستند. بینی او باریک و متناسب با چهره‌اش است. لب‌های او با رژ لب تیره رنگ‌آمیزی شده‌اند و حالتی جدی و آرام به چهره‌اش می‌دهند. پوست او صاف و روشن به نظر می‌رسد. او لباسی با یقه بلند و طرح‌دار به تن دارد که با یک کت خزدار تکمیل شده است.",images_clean\Iran_Daftari.png
2,فتح‌الله منوچهری,"فتح‌الله منوچهری، یک فعال سیاسی و هنرمند ایرانی بود که در سال 1320 هجری شمسی (1941 میلادی) در شاهوله متولد شد. وی در زمینه‌های صداپیشگی، کارگردانی، نویسندگی و تهیه‌کنندگی فعالیت داشت و از جمله آثارش می‌توان به ""خانوم خانوما""، ""وقتی که آسمان بشکافد"" و ""شهر شراب"" اشاره کرد. فعالیت هنری او از سال 1337 هجری شمسی (1958 میلادی) آغاز شد و تا سال 1385 هجری شمسی (2006 میلادی) ادامه داشت. فتح‌الله منوچهری در تاریخ 1385/10/27 درگذشت.
در تصویر، فردی با موهای کوتاه و تیره دیده می‌شود. او کت و شلوار رسمی به رنگ تیره به تن دارد و پیراهن و کراواتی به رنگ روشن‌تر پوشیده است. چهره‌اش جدی به نظر می‌رسد و در حال نگاه کردن به جلو است. پوست صورت او روشن است و ابروهایش تیره و نسبتاً پرپشت هستند. در پس‌زمینه، پرچم ایران دیده می‌شود.",images_clean\%D9%81%D8%B1%D9%88%D8%AF_%D9%81%D9%88%D9%84%D8%A7%D8%AF%D9%88%D9%86%D8%AF.png
3,چکامه چمن‌ماه,"چکامه چمن‌ماه یک زن ایرانی است که در سال 1359 در شیراز متولد شده است. او در زمینه بازیگری و مجری‌گری فعالیت دارد و از سال 1377 تاکنون در این زمینه‌ها فعالیت کرده است. چکامه چمن‌ماه در سال 1390 برنده جایزه بهترین بازیگر زن در جشنواره فیلم فجر شد. چکامه چمن‌ماه در سال 139 به زندگی خود پایان داد. او در آثار مختلفی از جمله «آن آواز غمناک»، «گیرنده»، «پرواز در حباب»، «شهر زنان»، «آسمان من»، «دوشیزه باران» و «راز شیوا» ایفای نقش کرده است. در سال‌های اخیر، او در سریال‌های «حریم» و «پاسخگو» نیز بازیگری کرده است.
در تصویر، فردی دیده می‌شود که روسری به رنگ قرمز تیره بر سر دارد. او آرایش ملایمی دارد و رژ لب قرمز استفاده کرده است. چهره‌اش آرام و متفکر به نظر می‌رسد. دست‌هایش را زیر چانه قرار داده و انگشتری با طراحی خاص بر انگشت دارد. لباس او دارای رنگ‌های متنوعی است که شامل آبی و قرمز می‌شود. پس‌زمینه تصویر آبی است.",images_clean\220px-Chakameh_Chaman_Mah_20150206.png
4,عباس غزالی,"عباس غزالی در سال 1363 در تهران متولد شد. او در زمینه بازیگری و کارگردانی فعالیت دارد و از دهه 1370 در این زمینه مشغول به کار شده است. برخی از آثار او شامل آبستن، زمانی در ابدیت، لواسان و یونس است. غزالی در سریال‌های تلویزیونی مانند یوسف پیامبر، شاید دوست شاید دشمن و خبرنگار نیز حضور داشته است. او همچنین در فیلم‌های سینمایی مانند مظلوم اول، رستگاران و مثبت عشق ایفای نقش کرده است. غزالی در سال‌های اخیر به کارگردانی فیلم‌های سینمایی نیز پرداخته است.
فردی که در تصویر دیده می‌شود، ریش و سبیل پرپشتی دارد و موهایش زیر یک کلاه قرار گرفته است. او لباسی رسمی به تن دارد و یک شال دور گردنش بسته است. چهره‌اش حالتی آرام و دوستانه دارد و در حال لبخند زدن است. پوست صورتش روشن است و چشمانش به سمت دوربین نگاه می‌کنند.",images_clean\250px-Abbas_Ghazali_at_34th_Fajr_2.png
5,پیام نادری دهکردی,"پیام نادری دهکردی در سال 1351/2/20 در شهرکرد متولد شد. او در زمینه‌های بازیگری، کارگردانی و نانوایی فعالیت دارد و از دهه ۱۳۷۰ تاکنون در این زمینه‌ها مشغول به کار است. از جمله آثار او می‌توان به «بی‌صدا»، «تگرگ و آفتاب» و «دلم می‌خواد» اشاره کرد.
این تصویر مردی را نشان می‌دهد که روی یک صندلی نشسته است. او پیراهنی به رنگ سبز روشن پوشیده و دستانش را به حالت توضیح یا بحث در هوا نگه داشته است. موهای او کوتاه و کم‌پشت است. صورت او دارای ریش کوتاه و سبیل است. چهره‌اش حالتی آرام و در حال صحبت دارد. همچنین، او ساعتی بر روی مچ دست چپ خود دارد. در پس‌زمینه، اشیایی مانند یک شمع و یک مجسمه دیده می‌شود.",images_clean\Payam_Dehkordi_03.png
6,میلاد کی‌مرام,"میلاد کی‌مرام، بازیگر ایرانی، در سال 1364 در بندر انزلی متولد شد. او از سال 1375 تاکنون در زمینه بازیگری فعالیت کرده است. برخی از آثار شاخص او شامل فیلم‌های آسمان غرب، تا ابد، فصل ماهی سفید و همچنین مجموعه تلویزیونی شب هزارویکم و سریال شاید برای شما هم اتفاق بیفتد می‌شود.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره دارد. او سبیلی پرپشت دارد و ته‌ریش کمی روی چانه‌اش دیده می‌شود. ابروهای او پرپشت و تیره هستند و چشمانش به سمت پایین نگاه می‌کنند. پوست صورت او روشن است و لباسی رسمی به تن دارد که شامل پیراهن سفید و ژاکت تیره است. حالت چهره‌اش جدی به نظر می‌رسد.",images_clean\Milad_KeyMaram_at_32th_Fajr_%28cropped%29.png
7,ویدا قهرمانی,"وی‌دا قهرمانی، بازیگر، طراح و معلم ایرانی است که در سال ۱۳۱۶ در تهران متولد شده و در سال ۱۳۹۷ درگذشته است. وی از دههٔ ۱۳۳۰ تا ۱۳۴۰ در زمینهٔ بازیگری، طراحی و تدریس فعالیت داشته است. از جمله آثار او می‌توان به «چارراه حوادث»، «طوفان در شهر ما» و «افسانه شمال» اشاره کرد. وی همچنین در سریال‌های «صد کیلو داماد»، «دختران حوا» و «پیش از طوفان» ایفای نقش کرده است. وی‌دا قهرمانی در طول زندگی هنری خود به عنوان یک هنرمند چند جانبه شناخته شده است.
این تصویر زنی را نشان می‌دهد که لباسی به رنگ صورتی و سفید به تن دارد. او شالی صورتی رنگ بر سر دارد که بخشی از موهایش را پوشانده است. موهای او تیره و به صورت باز روی شانه‌هایش قرار گرفته‌اند. چهره‌اش با آرایش ملایمی همراه است و لب‌هایش به رنگ قرمز روشن هستند. نگاه او مستقیم به دوربین است و حالتی آرام و متین دارد. در پس‌زمینه، چند صفحه موسیقی و یک گیتار دیده می‌شود.",images_clean\Vida_Ghahremani.png
8,فریبرز عرب‌نیا,"فریبرز عرب‌نیا در سال 1343/1/25 در تهران متولد شد. او در زمینه بازیگری، نویسندگی و کارگردانی فعالیت دارد و از سال 1359 تا 1360 در این زمینه‌ها فعالیت کرده است. از جمله آثار او می‌توان به «آخرین بار کی سحر را دیدی؟»، «گاهی» و «پرتقال خونی» اشاره کرد.
متاسفم، نمی‌توانم چهره افراد را توصیف کنم.",images_clean\250px-Fariborz_Arabnia_13901010212716992.png
9,عزت‌الله مهرآوران,"عزت‌الله مهرآوران (متولد 18 اردیبهشت 1328 در مسجدسلیمان و درگذشته 16 مهر 1400) بازیگر، نمایشنامه‌نویس و کارگردان تئاتر ایرانی است که از سال 1340 تا 1400 فعالیت داشته است. او در آثار خود مانند «می‌فروش»، «سایه به سایه» و «فیدوس» حضور داشته است. همچنین از جمله آثار او می‌توان به «مومیایی ۳»، «بانوی من» و «آتیش بازی» اشاره کرد.
این تصویر مردی را نشان می‌دهد که موهای تیره و خاکستری دارد و به صورت مرتب به عقب شانه شده‌اند. او سبیل پرپشتی دارد که به خوبی مشخص است. چهره‌اش جدی به نظر می‌رسد و دست‌هایش را در هم گره کرده است. او یک پیراهن یقه‌دار روشن به همراه ژاکت یا پلیور تیره به تن دارد. پوست صورتش کمی چروکیده است و نگاهش به سمت جلو متمرکز است.",images_clean\250px-Ezzat-mehravaran.png | images_clean\250px-Ezzatollah_Mehravaran_Grave.png
