id,bio,imag
کامشاد کوشان,کامشاد کوشان، متولد ۲۸ شهریور ۱۳۴۱ در تهران، در دوره ۱۳۷۰ تا کنون فعالیت داشته و در این مدت به‌عنوان کارگردان، نویسنده، مترجم و بازیگر مشغول به کار بوده است. از آثار او می‌توان به فیلم‌های «بدون شرح»، «راز بهشت»، «شاپرک خانوم»، «آخرین خیال»، «حلقه»، «در جستجوی واقعیت»، «برادرم خسرو»، «برگ ریزان»، «نارنجی پوش» و «من و دبورا» اشاره کرد. در سال ۱۳۷۵، فیلم «آخرین خیال» او در قالب جشنواره بین‌المللی فیلم‌های کوتاه ایرانی در ۱۴ شهر آمریکای شمالی به نمایش درآمد.مردی با صورت گرد، بینی متوسط، چشمان قهوه‌ای روشن، ابروهای پرپشت، موهای مشکی با رگه‌های خاکستری و پوست روشن. به نظر می‌رسد در دهه پنجم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/d/d2/Kamshad-Kooshan1.jpg', 'https://drive.google.com/uc?id=18uDFTP3qL_DfUnEcpBSfQxwt_rve-Wwy']"
ایران دفتری,ایران دفتری، بازیگر سینما و تئاتر، در سال ۱۲۸۶ در رشت، گیلان دیده به جهان گشود و در تاریخ ۲ اسفند ۱۳۷۴ در تهران درگذشت. او در دوره‌ی ۱۳۱۰ تا ۱۳۵۰ فعالیت داشت. از جمله آثار سینمایی او می‌توان به «شیربها»، «گذر اکبر»، «نانجیب»، «ایوب»، «جان‌سخت»، «قلاب»، «کلبه‌ای آن‌سوی رودخانه»، «مردان سحر»، «سکهٔ شانس»، «قهرمانان»، «قیصر»، «ببر مازندران»، «روزهای تاریک یک مادر»، «زیر گنبد کبود»، «خداحافظ تهران»، «عروس دریا»، «مردی که رنج می‌برد»، «برای تو»، «یک نگاه»، «پریچهر»، «خواب‌های طلایی»، «شکار خانگی» و «شیرین و فرهاد» اشاره کرد. همچنین آثار نمایشی او شامل «آرشین مالالان»، «آخرین لحظه»، «آغا محمدخان قاجار»، «ایده‌آل عشقی»، «بدرالدین و مه‌پاره»، «بلبل سرگشته»، «جان فدای وطن»، «حافظ و صاحب‌عیار»، «خاقان می‌رقصد»، «خانوادهٔ فناشده»، «شیرین و فرهاد»، «علی بهانه‌گیر»، «مرد مرموز»، «نادرشاه»، «ناصرالدین‌شاه» و «یک شب در حرم» می‌باشند. رخشان بنی‌اعتماد مستندی با عنوان «آخرین دیدار با ایران دفتری» درباره‌ی او ساخته است.زنی با صورت بیضی شکل، بینی متوسط، چشمان روشن و ابروهای مرتب، موهای موج‌دار قهوه‌ای و پوست روشن. به نظر می‌رسد در دهه چهارم یا پنجم زندگی باشد.,"['https://drive.google.com/uc?id=1XOUpPDTYuNqjRANNfCC0ZGDEtaAnPkJ8', 'https://upload.wikimedia.org/wikipedia/fa/e/ea/Iran_Daftari.jpg']"
فتح‌الله منوچهری,فتح‌الله منوچهری که با نام فرود فولادوند نیز شناخته می‌شود، در تاریخ پنجم آذرماه ۱۳۲۰ در شاهوله، لرستان متولد شد و در تاریخ ۲۷ دی ۱۳۸۵ در استان حکاری درگذشت. او صداپیشه، کارگردان، نویسنده، تهیه‌کننده و فعال سیاسی بود. از آثار وی می‌توان به کتاب «از مدینه تا تیسفون» و فیلم‌های «خانوم خانوما»، «وقتی که آسمان بشکافد»، «شهر شراب» و «مرد جهان سومی» اشاره کرد. او همچنین در سال ۱۳۸۰ در لندن، پایه‌گذاری انجمن پادشاهی ایران را بر عهده داشت. در سال ۱۳۸۵، فولادوند به همراه الکساندر ولی‌زاده و ناظم اشمیت در استان حکاری ترکیه ناپدید شد.مردی با صورت کشیده، بینی نسبتاً بزرگ، چشمان متوسط، ابروهای پرپشت، موی کوتاه و مشکی، بدون سبیل و ریش. به نظر می‌رسد در دهه پنجم یا ششم زندگی باشد.,"['https://drive.google.com/uc?id=1dEdnePCdxxLrZsUfYDs3afhOEUqaJslc', 'https://upload.wikimedia.org/wikipedia/fa/thumb/5/55/%D9%81%D8%B1%D9%88%D8%AF_%D9%81%D9%88%D9%84%D8%A7%D8%AF%D9%88%D9%86%D8%AF.jpg/330px-%D9%81%D8%B1%D9%88%D8%AF_%D9%81%D9%88%D9%84%D8%A7%D8%AF%D9%88%D9%86%D8%AF.jpg']"
چکامه چمن‌ماه,چکامه چمن‌ماه، در ۲۳ مرداد ۱۳۵۹ در شیراز، استان فارس متولد شد. او به‌عنوان بازیگر و مجری فعالیت می‌کند. از آثار او می‌توان به فیلم‌های «آن آواز غمناک»، «اعترافات ذهن خطرناک من»، «گهواره‌ای برای مادر»، «خیابان یک‌طرفه»، «گیرنده»، «سایه‌ها»، «پایان‌نامه»، «حریم»، «دوشیزه باران»، «محافظ»، «ازدواج صورتی»، «شکلات»، «صبحانه‌ای برای دو نفر»، «جایی دیگر»، «بانوی کوچک»، «سهراب»، «بودن یا نبودن» و «شهر زنان» و مجموعه‌های تلویزیونی «آسمان من»، «ستاره‌های سربی»، «راز شیوا»، «پرواز در حباب»، «جاده قدیم»، «پیاده‌روهای خالی»، «ماگنولیا»، «آبی عشق»، «اتوپیا» و «ترنج» و تله‌فیلم‌های «تله فیلم فرجام» و «خاطرات فردا» اشاره کرد. دوران فعالیت او از سال ۱۳۷۷ تاکنون است.زنی با صورت بیضی شکل، بینی کوچک و مستقیم، چشمان قهوه‌ای روشن، ابروهای باریک و موهای پوشیده با روسری. پوست روشن و حدوداً در دهه سوم یا چهارم زندگی به نظر می‌رسد.,"['https://drive.google.com/uc?id=1pH2-lb1rLrVA_fITOrjZT9gS7-pn1tRZ', 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Chakameh_Chaman_Mah_20150206.jpg/220px-Chakameh_Chaman_Mah_20150206.jpg']"
عباس غزالی,عباس غزالی، در چهاردهم بهمن ۱۳۶۳ در تهران متولد شد. او به‌عنوان بازیگر و کارگردان فعالیت می‌کند. در دهه ۱۳۷۰، در سریال‌هایی همچون «انتظار سرخ» و «زمان شوریدگی» حضور داشته است. از فیلم‌های او می‌توان به «آبستن»، «زمانی در ابدیت»، «لواسان»، «پری‌سا»، «من یوسفم، مادر»، «همه چی عادیه»، «قیچی»، «دلبری»، «اعترافات ذهن خطرناک من» و «بی عنوان» اشاره نمود.مردی با صورت مستطیلی شکل، بینی متوسط، چشمان قهوه‌ای، ابروهای پرپشت و موهای مشکی که کلاه به سر دارد. دارای سبیل و ریش بلند و پوستی روشن است و به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['https://drive.google.com/uc?id=16Q8SUUBRpO0M3v2d3Sl4rhxHDs0VZfEb', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Abbas_Ghazali_at_34th_Fajr_2.jpg/250px-Abbas_Ghazali_at_34th_Fajr_2.jpg']"
پیام نادری دهکردی,پیام نادری دهکردی، متولد ۲۰ اردیبهشت ۱۳۵۱ در شهرکرد، استان چهارمحال و بختیاری، به عنوان بازیگر، کارگردان و نانوا فعالیت می‌کرده است. از آثار وی می‌توان به فیلم‌های سینمایی «بی‌صدا» (۱۳۹۵)، «تگرگ و آفتاب» (۱۳۹۳)، «دلم می‌خواد» (۱۳۹۲)، «تراژدی» (۱۳۹۲)، «بی خداحافظی» (۱۳۹۰)، «جیب بر خیابان جنوبی» (۱۳۹۰)، «راه آبی ابریشم» (۱۳۸۹)، «همیشه پای یک زن در میان است» (۱۳۸۶)، «در همین نزدیکی» (۱۳۸۶)، «یک بوس کوچولو» (۱۳۸۳) و «یک تکه نان» (۱۳۸۳)، مجموعه‌های تلویزیونی «باغ بلور» (۱۳۸۲)، «شهریار» (۱۳۸۶)، «مدار صفر درجه» (۱۳۸۶)، «جستجوگران» (۱۳۸۸)، «گاوصندوق» (۱۳۸۸)، «هوش سیاه ۲» (۱۳۹۲)، «گذر از رنج‌ها» (۱۳۹۳)، «کوبار» (۱۳۹۷)، «گاندو» (۱۳۹۸)، «ارثیه پدری» (۱۳۹۹)، «گاندو ۲» (۱۴۰۰)، «افرا» (۱۴۰۰)، «هم‌سایه» (۱۴۰۰)، «خداداد» (۱۴۰۱)، «سنجرخان» (۱۴۰۲) و مجموعه‌های نمایش خانگی «سرگیجه» (۱۴۰۱) و «خاتون» (۱۴۰۰) و فیلم «دیدن این فیلم جرم است!» (۱۳۹۷) اشاره نمود. او در دهه ۱۳۷۰ تاکنون فعال بوده است.مردی با صورت گرد، بینی متوسط و کمی پهن، چشمان قهوه‌ای، ابروهای نازک، موهای کم‌پشت و کوتاه، بدون سبیل و ریش، پوست با رنگ طبیعی. به نظر می‌رسد در دهه چهارم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/a/ac/Payam_Dehkordi_03.jpg', 'https://drive.google.com/uc?id=1eeK2LsMrpv-c1gctRYh6e3xDzFaIHd3T']"
میلاد کی‌مرام,میلاد کی‌مرام، در ۴ اردیبهشت ۱۳۶۴ در بندر انزلی، گیلان به دنیا آمد. او بازیگر است و آثارش در دوره ۱۳۷۵–اکنون منتشر شده است. از میان آثار او می‌توان به «آسمان غرب» (۱۴۰۲)، «تا ابد» (۱۳۹۸)، «فصل ماهی سفید» (۱۳۹۷)، «فیلم سینمایی سورنجان» (۱۳۹۷)، «روسی» (۱۳۹۶)، «امیر» (۱۳۹۶)، «حریم شخصی» (۱۳۹۵)، «ملی و راه‌های نرفته‌اش» (۱۳۹۵)، «آبنبات چوبی» (۱۳۹۴)، «امکان مینا» (۱۳۹۴)، «غیرمجاز» (۱۳۹۴)، «۳۶۰ درجه» (۱۳۹۳)، «مستانه» (۱۳۹۳)، «هاری» (۱۳۹۳)، «صفر» (۱۳۹۳)، «برف» (۱۳۹۲)، «خط ویژه» (۱۳۹۲)، «روزگاری عشق و خیانت» (۱۳۹۲)، «ملکه» (۱۳۹۰)، «کوچه ملی (فیلم)» (۱۳۸۹)، «شب هزارویکم (مجموعه تلویزیونی)» (۱۳۸۷)، «شاید برای شما هم اتفاق بیفتد» (۱۳۹۳)، «نابرده رنج» (۱۳۹۰)، «بچه‌های نسبتا بد» (۱۳۹۰)، «چرخ فلک» (۱۳۹۵)، «ممنوعه» (۱۳۹۷)، «سیاوش» (۱۴۰۰)، «سووشون» (۱۴۰۱)، «حول حالنا» (۱۳۸۷)، «ژنرال» (۱۳۹۲)، «سیب ترش» (۱۳۹۱)، «شاه کلید» (۱۳۸۹)، «نمایش غیر» و «موزیکال «عروس مردگان»» (۱۳۹۸) اشاره نمود.مردی با صورت گرد، بینی نسبتا مستقیم، چشمان قهوه‌ای، ابروهای پرپشت، موهای سیاه و مرتب، سبیل پرپشت و پوستی صاف. به نظر می‌رسد در دهه سوم زندگی باشد.,"['https://drive.google.com/uc?id=1B8ZLsKGY3QCJPF1VOILN6W4u8ehdXPbC', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Milad_KeyMaram_at_32th_Fajr_%28cropped%29.jpg']"
ویدا قهرمانی,ویدا قهرمانی، با نام مستعار ملیحه قهرمانی، در ششم فروردین سال ۱۳۱۶ در تهران متولد شد و در بیست و دوم خرداد سال ۱۳۹۷ در سان فرانسیسکو، کالیفرنیا درگذشت. او به عنوان بازیگر، طراح و معلم فعالیت می‌کرد. از آثار او می‌توان به فیلم‌های «چهارراه حوادث»، «طوفان در شهر ما»، «دشمن زن»، «یکی بود یکی نبود»، «افسانه شمال»، «فردا روشن است»، «بچه‌های محل»، «بچه ننه»، «آتش و خاکستر»، «گرگ صحرا»، «فریاد نیمه‌شب»، «صد کیلو داماد»، «دختران حوا»، «پستچی»، «خداداد»، «عشق و انتقام»، «صیادان نمکزار»، «کارآگاه ۲»، «میهمانان هتل آستوریا»، «هزاران سال دعاهای خوب»، «سنگسار ثریا م.»، «شاه باب»، «جیمی وست‌وود: قهرمان آمریکایی» و همچنین مجموعه‌ی عروسکی «سرزمین خوشبختی» و فیلم‌های تلویزیونی «تعطیلات سیاه» و «پیش از طوفان» اشاره کرد. دوران فعالیت او به دهه‌های ۱۳۳۰ تا ۱۳۴۰ بازمی‌گردد.زن جوانی با صورت بیضی شکل، بینی متوسط، چشمان بزرگ و چشمگیر، ابروهای پر و منظم، موهای مشکی و پوست روشن. به نظر می‌رسد در دهه دوم یا سوم زندگی باشد.,"['https://drive.google.com/uc?id=1AeXSViD1ccMWMlcoFr0MxiXwBRWdFxwp', 'https://upload.wikimedia.org/wikipedia/fa/3/32/Vida_Ghahremani.jpg']"
فریبرز عرب‌نیا,فریبرز عرب‌نیا، بازیگر، نویسنده و کارگردان، در ۲۵ فروردین سال ۱۳۴۳ در تهران متولد شد. او در آثار سینمایی متعددی از جمله «آخرین بار کی سحر را دیدی؟»، «گاهی»، «چ»، «پرتقال خونی»، «پنهان»، «خاک و آتش»، «شکلات داغ»، «صندلی خالی»، «طاووس‌های بی‌پر»، «باج‌خور»، «برگ برنده»، «پروانه‌ای در باد»، «دختری در قفس»، «ستاره‌های سربی»، «عطش»، «از صمیم قلب»، «رنگ شب»، «شیفته»، «هزاران زن مثل من»، «هفت‌پرده»، «بادام‌های تلخ»، «دلباخته»، «سحرگاه پیروزی»، «شوکران»، «طوطیا»، «جهان پهلوان تختی»، «شاهرگ»، «بالاتر از خطر»، «سلطان»، «ضیافت»، «فرار مرگبار»، «بوی خوش زندگی»، «سال‌های بی‌قراری»، «کاکادو»، «مرد پنجم»، «من زمین را دوست دارم»، «خسوف»، «مسافران»، «وصل نیکان»، «آهوی وحشی» و مجموعه‌های تلویزیونی «رنگ شک»، «مختارنامه»، «وکیل»، «مزد ترس»، «چشمه زندگی» و فیلم تلویزیونی «عملیات مانگرو» ایفای نقش کرده است. او در دوره ۱۳۶۰–۱۳۵۹ نیز فعال بوده است. از رویدادهای مهم زندگی او می‌توان به بازی در مجموعه «مختارنامه» اشاره کرد که پس از آن با ۱۸۸۰۰۰ بازدید در رتبه ۳۶ در بین ۱۰۰ صفحه فارسی پربازدید ویکی‌پدیا در سال ۲۰۱۳ قرار گرفت. همچنین پس از فوت همسر سابقش، عسل بدیعی، به همراه پسرش جانیار به آمریکا مهاجرت کرد. در سال ۲۰۲۴ در قسمت اول فصل دوم سریال «پیرمرد» در نقش مردی افغان ظاهر شد. انتقادها و گفتار او در سه برنامهٔ تلویزیونی «هفت» که در تاریخ‌های ۳۰ اردیبهشت و ۶ خرداد و ۱۳ خرداد ۱۳۹۰ پخش شد، جنجال‌هایی به دنبال داشت. در سال ۱۳۹۱، به دلیل اختلاف با ابراهیم حاتمی کیا به دلیل اجرا نشدن مفاد قرارداد همکاری، رویداد مهمی رخ داد. در ۳۰ بهمن ۱۴۰۱، رضا پهلوی را به مناظره دعوت کرد. در ۱۷ شهریور ۱۴۰۲، در مصاحبه با بخش فارسی صدای آمریکا از دروغ، فساد، و کشتار اندیشه‌ها در ایران تحت حاکمیت جمهوری اسلامی انتقاد کرد. او فرح پهلوی را در کنار چهره‌هایی مانند امیرکبیر و مصدق بزرگ‌ترین خدمت‌گزاران تاریخ معاصر ایران معرفی کرد.مردی با صورت مستطیلی، بینی متوسط و مستقیم، چشمان قهوه‌ای تیره، ابروهای پرپشت، موهای کوتاه و تیره، بدون سبیل و ریش، پوست روشن با رنگ طبیعی؛ به نظر می‌رسد در دهه چهارم زندگی باشد.,"['https://drive.google.com/uc?id=1otDcqw7EZQL31fcUlaHo4srQKfCPqeAe', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Fariborz_Arabnia_13901010212716992.jpg/250px-Fariborz_Arabnia_13901010212716992.jpg']"
عزت‌الله مهرآوران,عزت‌الله مهرآوران، متولد ۱۸ اردیبهشت ۱۳۲۸ در مسجدسلیمان، خوزستان، در تاریخ ۱۶ مهر ۱۴۰۰ در تهران بر اثر ایست قلبی و عارضه ریوی ناشی از ابتلا به ویروس کرونا درگذشت. او در دوران فعالیت خود، بازیگر، نمایشنامه‌نویس و کارگردان تئاتر بود و در آثار متعددی از جمله فیلم‌هایی چون «می‌فروش»، «سایه به سایه»، «یک راه»، «فیدوس»، «ایلیا، نقاش جوان»، «هتل کارتن»، «آژانس شیشه‌ای»، «تارهای نامریی»، «مرد عوضی»، «سیب سرخ حوا»، «مومیایی ۳»، «بانوی من»، «آتیش بازی»، «خوابم می‌آد» و «سگ بند» و همچنین نمایشنامه‌هایی نظیر «حجله بید»، «مروارید»، «عاشق کشون»، «صدا کن لیلو»، «انتظار»، «جبال بارز»، «سجلی»، «غزل واژه قصد»، «لال بهنگ»، «غربت»، «صدایم کن فاطمه»، «خیال»، «پنج شنبه در گنبد صندلی»، «طومار حیرت به قلم باد»، «خطر مجسمه عبید جدی است»، «ابریشم بانو»، «رکاب»، «کنیزک قابله»، «صاحب منصب عشق»، «هنرپیشه هملت»، «گفتگوی مکبث و اسفندیار رویین‌تن» و «گفتگوی ژولیت و مجنون» و مجموعه‌های تلویزیونی و تله‌تئاترهایی مانند «داستان زندگی»، «فیزیک‌دان‌ها»، «فروشگاه»، «کژدم ۳۳»، «بگذار آفتاب برآید»، «هتل پیاده‌رو»، «نسخه خطی»، «فقط به خاطر تو»، «غریبانه»، «شاهد عینی»، «پیامک از دیار باقی»، «با هم در خانه»، «دفترخانه شماره ۱۳»، «وضعیت سفید»، «مسیر انحرافی»، «نغمه نوروز»، «دزد و پلیس»، «خروس»، «هفت‌سنگ»، «یادداشت‌های یک زن خانه‌دار»، «بیمار استاندارد»، «معمای شاه»، «لیسانسه‌ها»، «ایراندخت»، «هیولا»، «ریکاوری»، «فوق لیسانسه‌ها»، «زیر همکف»، «پدر پسری»، «خوب، بد، جلف: رادیواکتیو»، «می‌خواهم زنده بمانم»، «بچه مهندس ۴»، «زن زندگی مرد زندگی»، «خودخواسته» و «ساخت ایران ۳» به ایفای نقش پرداخت. دوران فعالیت هنری او در بازه زمانی ۱۳۴۰ تا ۱۴۰۰ بود.مردی مسن با صورت کشیده، بینی بزرگ و خمیده، چشمانی عمیق و ابروهای پرپشت. موهای خاکستری و پرپشت، سبیل ضخیم و بدون ریش، رنگ پوست روشن.,"['https://drive.google.com/uc?id=1BATAj1TF3It-wFpyT_6L8SP5pXHmetFF', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Ezzat-mehravaran.jpg/250px-Ezzat-mehravaran.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ezzatollah_Mehravaran_Grave.jpg/250px-Ezzatollah_Mehravaran_Grave.jpg', 'https://drive.google.com/uc?id=11tUSoKsOZ-zDz030LXxDNCqEdV2IED0M']"
